Invoice Id,Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
1,Foot Locker,1185732,1/1/2020,Northeast,New York,New York,Men's Street Footwear,$50.00 ,"1,200","$600,000 ","$300,000 ",50%,In-store
2,Foot Locker,1185732,1/2/2020,Northeast,New York,New York,Men's Athletic Footwear,$50.00 ,"1,000","$500,000 ","$150,000 ",30%,In-store
3,Foot Locker,1185732,1/3/2020,Northeast,New York,New York,Women's Street Footwear,$40.00 ,"1,000","$400,000 ","$140,000 ",35%,In-store
4,Foot Locker,1185732,1/4/2020,Northeast,New York,New York,Women's Athletic Footwear,$45.00 ,850,"$382,500 ","$133,875 ",35%,In-store
5,Foot Locker,1185732,1/5/2020,Northeast,New York,New York,Men's Apparel,$60.00 ,900,"$540,000 ","$162,000 ",30%,In-store
6,Foot Locker,1185732,1/6/2020,Northeast,New York,New York,Women's Apparel,$50.00 ,"1,000","$500,000 ","$125,000 ",25%,In-store
7,Foot Locker,1185732,1/7/2020,Northeast,New York,New York,Men's Street Footwear,$50.00 ,"1,250","$625,000 ","$312,500 ",50%,In-store
8,Foot Locker,1185732,1/8/2020,Northeast,New York,New York,Men's Athletic Footwear,$50.00 ,900,"$450,000 ","$135,000 ",30%,Outlet
9,Foot Locker,1185732,1/21/2020,Northeast,New York,New York,Women's Street Footwear,$40.00 ,950,"$380,000 ","$133,000 ",35%,Outlet
10,Foot Locker,1185732,1/22/2020,Northeast,New York,New York,Women's Athletic Footwear,$45.00 ,825,"$371,250 ","$129,937 ",35%,Outlet
11,Foot Locker,1185732,1/23/2020,Northeast,New York,New York,Men's Apparel,$60.00 ,900,"$540,000 ","$162,000 ",30%,Outlet
12,Foot Locker,1185732,1/24/2020,Northeast,New York,New York,Women's Apparel,$50.00 ,"1,000","$500,000 ","$125,000 ",25%,Outlet
13,Foot Locker,1185732,1/25/2020,Northeast,New York,New York,Men's Street Footwear,$50.00 ,"1,220","$610,000 ","$305,000 ",50%,Outlet
