unnamed:_0,invoice_id,retailer,retailer_id,invoice_date,region,state,city,product,price_per_unit,units_sold,total_sales,operating_profit,operating_margin,sales_method
0,1,Foot Locker,1185732,1/1/2020,Northeast,New York,New York,Men's Street Footwear,50.0,0.0,600000.0,300000.0,50.0,In-store
1,2,Foot Locker,1185732,1/2/2020,Northeast,New York,New York,Men's Athletic Footwear,50.0,0.0,500000.0,150000.0,30.0,In-store
2,3,Foot Locker,1185732,1/3/2020,Northeast,New York,New York,Women's Street Footwear,40.0,0.0,400000.0,140000.0,35.0,In-store
3,4,Foot Locker,1185732,1/4/2020,Northeast,New York,New York,Women's Athletic Footwear,45.0,850.0,382500.0,133875.0,35.0,In-store
4,5,Foot Locker,1185732,1/5/2020,Northeast,New York,New York,Men's Apparel,60.0,900.0,540000.0,162000.0,30.0,In-store
5,6,Foot Locker,1185732,1/6/2020,Northeast,New York,New York,Women's Apparel,50.0,0.0,500000.0,125000.0,25.0,In-store
6,7,Foot Locker,1185732,1/7/2020,Northeast,New York,New York,Men's Street Footwear,50.0,0.0,625000.0,312500.0,50.0,In-store
7,8,Foot Locker,1185732,1/8/2020,Northeast,New York,New York,Men's Athletic Footwear,50.0,900.0,450000.0,135000.0,30.0,Outlet
8,9,Foot Locker,1185732,1/21/2020,Northeast,New York,New York,Women's Street Footwear,40.0,950.0,380000.0,133000.0,35.0,Outlet
9,10,Foot Locker,1185732,1/22/2020,Northeast,New York,New York,Women's Athletic Footwear,45.0,825.0,371250.0,129937.0,35.0,Outlet
10,11,Foot Locker,1185732,1/23/2020,Northeast,New York,New York,Men's Apparel,60.0,900.0,540000.0,162000.0,30.0,Outlet
11,12,Foot Locker,1185732,1/24/2020,Northeast,New York,New York,Women's Apparel,50.0,0.0,500000.0,125000.0,25.0,Outlet
12,13,Foot Locker,1185732,1/25/2020,Northeast,New York,New York,Men's Street Footwear,50.0,0.0,610000.0,305000.0,50.0,Outlet
13,14,Foot Locker,1185732,1/26/2020,Northeast,New York,New York,Men's Athletic Footwear,50.0,925.0,462500.0,138750.0,30.0,Outlet
14,15,Foot Locker,1185732,1/27/2020,Northeast,New York,New York,Women's Street Footwear,40.0,950.0,380000.0,133000.0,35.0,Outlet
15,16,Foot Locker,1185732,1/28/2020,Northeast,New York,New York,Women's Athletic Footwear,45.0,800.0,360000.0,126000.0,35.0,Outlet
16,17,Foot Locker,1185732,1/29/2020,Northeast,New York,New York,Men's Apparel,60.0,850.0,510000.0,153000.0,30.0,Outlet
17,18,Foot Locker,1185732,1/30/2020,Northeast,New York,New York,Women's Apparel,50.0,950.0,475000.0,118750.0,25.0,Outlet
18,19,Foot Locker,1185732,1/31/2020,Northeast,New York,New York,Men's Street Footwear,50.0,0.0,600000.0,300000.0,50.0,Outlet
19,20,Foot Locker,1185732,2/1/2020,Northeast,New York,New York,Men's Athletic Footwear,50.0,900.0,450000.0,135000.0,30.0,Outlet
20,21,Foot Locker,1185732,2/2/2020,Northeast,New York,New York,Women's Street Footwear,40.0,900.0,360000.0,126000.0,35.0,Outlet
21,22,Foot Locker,1185732,2/3/2020,Northeast,New York,New York,Women's Athletic Footwear,45.0,825.0,371250.0,129937.0,35.0,Outlet
22,23,Foot Locker,1185732,2/4/2020,Northeast,New York,New York,Men's Apparel,60.0,825.0,495000.0,148500.0,30.0,Outlet
