,Invoice Id,Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
0,1,Foot Locker,1185732,1/1/2020,Northeast,New York,New York,Men's Street Footwear,50.0,,600000,300000,50,In-store
1,2,Foot Locker,1185732,1/2/2020,Northeast,New York,New York,Men's Athletic Footwear,50.0,,500000,150000,30,In-store
2,3,Foot Locker,1185732,1/3/2020,Northeast,New York,New York,Women's Street Footwear,40.0,,400000,140000,35,In-store
3,4,Foot Locker,1185732,1/4/2020,Northeast,New York,New York,Women's Athletic Footwear,45.0,850.0,382500,133875,35,In-store
4,5,Foot Locker,1185732,1/5/2020,Northeast,New York,New York,Men's Apparel,60.0,900.0,540000,162000,30,In-store
5,6,Foot Locker,1185732,1/6/2020,Northeast,New York,New York,Women's Apparel,50.0,,500000,125000,25,In-store
6,7,Foot Locker,1185732,1/7/2020,Northeast,New York,New York,Men's Street Footwear,50.0,,625000,312500,50,In-store
7,8,Foot Locker,1185732,1/8/2020,Northeast,New York,New York,Men's Athletic Footwear,50.0,900.0,450000,135000,30,Outlet
8,9,Foot Locker,1185732,1/21/2020,Northeast,New York,New York,Women's Street Footwear,40.0,950.0,380000,133000,35,Outlet
9,10,Foot Locker,1185732,1/22/2020,Northeast,New York,New York,Women's Athletic Footwear,45.0,825.0,371250,129937,35,Outlet
10,11,Foot Locker,1185732,1/23/2020,Northeast,New York,New York,Men's Apparel,60.0,900.0,540000,162000,30,Outlet
11,12,Foot Locker,1185732,1/24/2020,Northeast,New York,New York,Women's Apparel,50.0,,500000,125000,25,Outlet
12,13,Foot Locker,1185732,1/25/2020,Northeast,New York,New York,Men's Street Footwear,50.0,,610000,305000,50,Outlet
13,14,Foot Locker,1185732,1/26/2020,Northeast,New York,New York,Men's Athletic Footwear,50.0,925.0,462500,138750,30,Outlet
14,15,Foot Locker,1185732,1/27/2020,Northeast,New York,New York,Women's Street Footwear,40.0,950.0,380000,133000,35,Outlet
15,16,Foot Locker,1185732,1/28/2020,Northeast,New York,New York,Women's Athletic Footwear,45.0,800.0,360000,126000,35,Outlet
16,17,Foot Locker,1185732,1/29/2020,Northeast,New York,New York,Men's Apparel,60.0,850.0,510000,153000,30,Outlet
17,18,Foot Locker,1185732,1/30/2020,Northeast,New York,New York,Women's Apparel,50.0,950.0,475000,118750,25,Outlet
18,19,Foot Locker,1185732,1/31/2020,Northeast,New York,New York,Men's Street Footwear,50.0,,600000,300000,50,Outlet
19,20,Foot Locker,1185732,2/1/2020,Northeast,New York,New York,Men's Athletic Footwear,50.0,900.0,450000,135000,30,Outlet
20,21,Foot Locker,1185732,2/2/2020,Northeast,New York,New York,Women's Street Footwear,40.0,900.0,360000,126000,35,Outlet
21,22,Foot Locker,1185732,2/3/2020,Northeast,New York,New York,Women's Athletic Footwear,45.0,825.0,371250,129937,35,Outlet
22,23,Foot Locker,1185732,2/4/2020,Northeast,New York,New York,Men's Apparel,60.0,825.0,495000,148500,30,Outlet
23,24,Foot Locker,1185732,2/5/2020,Northeast,New York,New York,Women's Apparel,50.0,950.0,475000,118750,25,Outlet
24,25,Foot Locker,1185732,2/6/2020,Northeast,New York,New York,Men's Street Footwear,60.0,,732000,366000,50,Outlet
25,26,Foot Locker,1185732,2/7/2020,Northeast,New York,New York,Men's Athletic Footwear,55.0,925.0,508750,152625,30,Outlet
26,27,Foot Locker,1185732,2/8/2020,Northeast,New York,New York,Women's Street Footwear,50.0,900.0,450000,157500,35,Outlet
27,28,Foot Locker,1185732,2/9/2020,Northeast,New York,New York,Women's Athletic Footwear,50.0,850.0,425000,148750,35,Outlet
28,29,Foot Locker,1185732,2/10/2020,Northeast,New York,New York,Men's Apparel,60.0,875.0,525000,157500,30,Outlet
29,30,Foot Locker,1185732,3/3/2020,Northeast,New York,New York,Women's Apparel,65.0,,650000,162500,25,Outlet
30,31,Foot Locker,1185732,3/4/2020,Northeast,New York,New York,Men's Street Footwear,60.0,,750000,375000,50,Outlet
31,32,Foot Locker,1185732,3/5/2020,Northeast,New York,New York,Men's Athletic Footwear,55.0,,550000,165000,30,Outlet
32,33,Foot Locker,1185732,3/6/2020,Northeast,New York,New York,Women's Street Footwear,50.0,925.0,462500,161875,35,Outlet
33,34,Foot Locker,1185732,3/7/2020,Northeast,New York,New York,Women's Athletic Footwear,50.0,900.0,450000,157500,35,Outlet
34,35,Foot Locker,1185732,3/8/2020,Northeast,New York,New York,Men's Apparel,60.0,900.0,540000,162000,30,Outlet
35,36,Foot Locker,1185732,3/9/2020,Northeast,New York,New York,Women's Apparel,65.0,,682500,170625,25,Outlet
36,37,Foot Locker,1185732,3/10/2020,Northeast,New York,New York,Men's Street Footwear,60.0,,765000,382500,50,Outlet
37,38,Foot Locker,1185732,3/11/2020,Northeast,New York,New York,Men's Athletic Footwear,55.0,,563750,169125,30,Outlet
38,39,Foot Locker,1185732,3/12/2020,Northeast,New York,New York,Women's Street Footwear,50.0,950.0,475000,166250,35,Outlet
39,40,Foot Locker,1185732,3/13/2020,Northeast,New York,New York,Women's Athletic Footwear,50.0,900.0,450000,157500,35,Outlet
